,Unnamed: 0,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
10,"('AS14.01', datetime.date(2014, 3, 29))",338.0,8.0,,23.30774570205069,116805.61199998853,81.0,23.0,21717.64500000004,57709.52599999999,6773.808999999997,374.8989999999999,233.036,357.66700000000003,1219.014,18312.868,2605.313000000001,280.396,2283.908000000001,30.386
11,"('AS14.01', datetime.date(2014, 3, 30))",368.0,6.0,,23.99504728935228,121328.82600092884,81.0,23.0,22132.010000000035,59008.031,8309.485999999997,374.8989999999999,233.036,357.66700000000003,1293.017,18480.553,2605.313000000001,346.87299999999993,2322.2040000000006,30.386
12,"('AS14.01', datetime.date(2014, 3, 31))",405.0,6.0,,25.687178830553623,133165.6600012779,87.0,23.0,25093.415000000023,64340.668000000005,10068.405999999995,416.1539999999999,284.212,357.66700000000003,1561.571,19831.20799999999,2788.694000000001,376.163,2532.509,30.386
13,"('AS14.01', datetime.date(2014, 4, 1))",435.0,7.0,,28.52981665565928,150339.56600332257,88.0,23.0,26478.932000000023,70436.19400000005,11099.042999999996,963.9799999999996,518.953,450.05500000000006,1682.7610000000002,24871.274999999976,4403.315000000001,376.163,3050.1449999999986,30.386
14,"('AS14.01', datetime.date(2014, 4, 2))",461.0,,,30.97581531097665,171698.07700324056,92.0,23.0,30093.281000000043,77356.35000000006,12442.418999999987,1211.7569999999998,518.953,540.5360000000001,2224.302,28300.066999999985,4403.315000000001,376.163,3391.516,30.386
15,"('AS14.01', datetime.date(2014, 4, 3))",493.0,,,32.15753865597924,193099.912003994,96.0,23.0,32414.745000000046,91794.43200000007,13736.049999999988,1287.9909999999998,518.953,540.5360000000001,2438.204,31454.307999999997,4422.397000000002,376.163,3574.288,30.386
16,"('AS14.01', datetime.date(2014, 4, 4))",524.0,,,35.19808212495506,205479.3230040073,98.0,24.0,34372.57400000005,97276.06000000011,15281.276999999987,1287.9909999999998,518.953,540.5360000000001,2615.005,33540.505000000005,4580.638000000002,376.163,3702.979999999999,30.386
17,"('AS14.01', datetime.date(2014, 4, 5))",558.0,,,38.05413737783776,208819.7540040016,98.0,24.0,49531.76400000003,99161.46900000011,15357.645999999988,1287.9909999999998,518.953,540.5360000000001,2696.138,33903.713,4768.583000000001,376.163,3821.9359999999992,30.386
18,"('AS14.01', datetime.date(2014, 4, 6))",584.0,,,39.59992456445699,215642.0660037994,102.0,24.0,54077.40500000008,102477.91200000004,15544.859999999988,1287.9909999999998,633.359,540.5360000000001,2815.2580000000003,34225.173,4768.583000000001,376.163,3868.184999999999,30.386
19,"('AS14.01', datetime.date(2014, 4, 7))",610.0,,,40.81601947264062,226133.45700359344,103.0,24.0,55007.80300000006,109872.22700000004,15991.980999999989,1334.1189999999997,633.359,557.643,2985.606,35700.591,4828.830000000002,376.163,4073.995999999999,30.386
20,"('AS14.01', datetime.date(2014, 4, 8))",643.0,,,42.623868870913,241234.58900547025,104.0,24.0,55894.98400000006,119349.78,19458.45999999999,1353.2499999999995,633.359,557.643,3195.12,38355.712,4828.830000000002,376.163,4110.138999999998,30.386
21,"('AS14.01', datetime.date(2014, 4, 9))",680.0,,,45.51308761968889,254770.37700653076,108.0,24.0,57539.10900000008,125504.29300000006,20399.229999999985,1353.2499999999995,633.359,557.643,3541.7740000000003,41182.06200000003,4828.830000000002,376.163,4687.497999999999,30.386
22,"('AS14.01', datetime.date(2014, 4, 10))",717.0,,,47.40820214436627,264088.97700572014,115.0,24.0,58254.46400000009,130408.2670000001,22258.122999999978,1353.2499999999995,634.418,580.8380000000001,3649.693,42356.77900000003,4828.830000000002,376.163,5065.185,30.386
23,"('AS14.01', datetime.date(2014, 4, 11))",752.0,,,49.32787099411972,274615.8230059147,115.0,24.0,61623.4950000001,133744.85900000017,24234.260999999977,1447.3429999999994,634.418,580.8380000000001,3701.145,42953.58600000003,4863.064000000002,376.163,5279.833000000002,30.386
24,"('AS14.01', datetime.date(2014, 4, 12))",781.0,,,51.06184846940735,286366.6320068836,115.0,24.0,61925.94100000007,140339.94200000013,26420.742999999977,1447.3429999999994,634.418,580.8380000000001,3780.178000000001,43218.01800000003,4868.095000000002,376.163,5632.225000000003,30.386
25,"('AS14.01', datetime.date(2014, 4, 13))",813.0,,,51.398360364312246,288372.3830060959,115.0,24.0,62373.35600000004,141436.7370000001,26670.134999999977,1529.7559999999994,634.418,580.8380000000001,3874.387000000001,43252.52000000003,4868.095000000002,376.163,5632.225000000003,30.386
26,"('AS14.01', datetime.date(2014, 4, 14))",849.0,,,53.41165591158948,306276.80400538445,116.0,25.0,63331.91100000006,147923.02100000015,32935.690999999984,1619.0789999999993,634.418,580.8380000000001,4019.4830000000015,46174.50500000004,4897.199000000002,376.163,6596.979000000002,30.386
27,"('AS14.01', datetime.date(2014, 4, 15))",881.0,,,55.574347578326886,319943.0540037155,124.0,26.0,64931.29300000005,154147.25200000018,33880.213,1632.1219999999992,634.418,580.8380000000001,4129.898000000001,50602.71500000005,4905.562000000003,376.163,6898.032000000003,30.386
28,"('AS14.01', datetime.date(2014, 4, 16))",917.0,,,58.36099564537783,331326.8890028,124.0,27.0,65854.90600000003,159322.2680000002,34306.94699999999,1632.1219999999992,634.418,580.8380000000001,4170.682000000001,52515.56700000004,4905.562000000003,376.163,7121.6190000000015,30.386
29,"('AS14.01', datetime.date(2014, 4, 17))",950.0,,,59.727024205508165,344689.324003458,126.0,27.0,66402.02999999997,171142.38400000022,34449.18799999999,1632.1219999999992,634.418,580.8380000000001,4224.4450000000015,54622.71300000003,4905.562000000003,376.163,7171.337000000002,30.386
30,"('AS14.01', datetime.date(2014, 4, 18))",984.0,,,61.9838163661876,360974.7380030155,127.0,27.0,68268.00499999995,176517.26400000017,35223.54199999998,1751.2849999999992,634.418,580.8380000000001,4272.234000000002,56616.63500000003,4969.436000000003,376.163,7260.017000000003,30.386
31,"('AS14.01', datetime.date(2014, 4, 19))",1023.0,,,64.37018224755978,374267.9860036373,128.0,27.0,69214.19499999988,179245.52400000035,35692.815999999984,1846.9139999999995,663.502,580.8380000000001,4303.716000000002,57013.30700000002,5098.326000000004,376.163,7565.813000000002,30.386
32,"('AS14.01', datetime.date(2014, 4, 20))",1052.0,,,66.09095583755143,382611.5040040016,130.0,29.0,70111.28099999986,184230.2480000001,36420.30799999999,1857.5199999999995,663.502,580.8380000000001,4337.918000000002,59251.04900000003,5098.326000000004,376.163,7686.848000000003,30.386
33,"('AS14.01', datetime.date(2014, 4, 21))",1090.0,,,68.53994125278936,386444.4950032234,132.0,29.0,73553.51299999988,186234.59500000012,36495.18799999999,1890.7859999999996,663.502,580.8380000000001,4395.967000000002,59680.02100000002,5166.604000000003,376.163,7897.730000000004,30.386
34,"('AS14.01', datetime.date(2014, 4, 22))",1127.0,,,70.74625049652435,401934.7650024891,134.0,29.0,75766.46699999989,197595.50800000003,37596.20499999999,1929.2389999999991,663.502,580.8380000000001,4459.127000000001,61102.56900000003,5166.604000000003,376.163,8320.945000000003,30.386
35,"('AS14.01', datetime.date(2014, 4, 23))",1165.0,,,71.84990703573472,413392.086001873,135.0,29.0,76897.3089999998,206440.623,37943.631999999976,1947.289999999999,663.502,580.8380000000001,4501.5250000000015,61629.16700000003,5166.604000000003,376.163,8567.889000000005,30.386
36,"('AS14.01', datetime.date(2014, 4, 24))",1203.0,,,73.07157875239155,438556.58300209045,136.0,29.0,78363.57999999975,216216.113,42408.606999999975,2157.226999999999,663.502,580.8380000000001,4533.458000000001,64317.70300000002,5217.788000000002,376.163,9284.086000000008,30.386
37,"('AS14.01', datetime.date(2014, 4, 25))",1239.0,,,75.68904427967543,452530.5250017643,138.0,30.0,79181.19299999975,223495.25699999987,43059.43899999998,2178.297999999999,663.502,580.8380000000001,4602.305000000002,66545.39700000001,5281.104000000002,376.163,9632.060000000009,30.386
38,"('AS14.01', datetime.date(2014, 4, 26))",1277.0,,,80.61676602703284,468012.5440011025,141.0,34.0,80045.71199999975,226063.114,43184.99499999997,2205.5649999999987,663.502,580.8380000000001,4648.510000000003,68913.774,5751.877000000003,379.311,9947.82300000001,30.386
39,"('AS14.01', datetime.date(2014, 4, 27))",1307.0,,,81.28730235061003,473713.1060011387,141.0,34.0,81337.02599999974,228494.61199999985,44695.21599999998,2205.5649999999987,663.502,580.8380000000001,5705.194000000002,68941.244,5751.877000000003,379.311,10008.16100000001,30.386
40,"('AS14.01', datetime.date(2014, 4, 28))",1345.0,,,81.75951009153161,484520.936000824,143.0,34.0,82649.02699999975,233191.9839999998,46243.65399999998,2670.8179999999984,663.502,580.8380000000001,5777.778000000003,71365.177,5751.877000000003,379.311,10388.354000000008,30.386
41,"('AS14.01', datetime.date(2014, 4, 29))",1380.0,,,84.22570805623972,492394.2279999256,143.0,34.0,87938.93999999973,237026.6289999997,47806.18699999998,2670.8179999999984,996.807,580.8380000000001,5818.250000000003,71776.66199999998,5793.859000000003,379.311,10798.790000000005,30.386
42,"('AS14.01', datetime.date(2014, 4, 30))",1419.0,,,87.85094307321765,501569.832998991,144.0,34.0,88783.90299999979,240577.24699999977,48311.04899999999,3045.839999999998,996.807,580.8380000000001,6004.033000000003,71865.82799999998,6066.657000000003,379.311,10911.085000000006,30.386
43,"('AS14.01', datetime.date(2014, 5, 1))",1459.0,,,88.74050950876143,517086.7849974632,151.0,38.0,90660.01599999968,248768.65699999983,48781.91499999999,4366.943999999998,996.807,608.936,6048.463000000003,76784.77,6066.657000000003,379.311,11180.654000000008,30.386
44,"('AS14.01', datetime.date(2014, 5, 2))",1497.0,,,90.59669397188404,532175.3039982319,151.0,38.0,91455.45199999966,256694.575,49134.80299999999,5436.691999999999,996.807,608.936,6080.906000000004,77556.036,6066.657000000003,379.311,11191.737000000008,30.386
45,"('AS14.01', datetime.date(2014, 5, 3))",1537.0,,,92.31847520936816,540361.3399989605,151.0,39.0,92208.70899999962,261234.35100000008,51896.75299999999,5733.004999999999,996.807,608.936,6121.475000000004,77761.63799999999,6210.288000000003,409.413,11317.342000000008,30.386
46,"('AS14.01', datetime.date(2014, 5, 4))",1569.0,,,95.17850318528596,546250.5349984169,151.0,39.0,93967.1469999996,264616.0400000003,52825.15899999999,5733.004999999999,996.807,608.936,6157.000000000005,78256.315,6210.288000000003,409.413,11317.342000000008,30.386
47,"('AS14.01', datetime.date(2014, 3, 20))",44.0,-1.0,4.0,0.1630952380952381,2275.9440002441406,51.0,19.0,248.979,2168.229,350.856,0.0,0.0,0.0,11.345,807.731,0.0,45.173,21.074,0.0
48,"('AS14.01', datetime.date(2014, 5, 5))",1569.0,,,95.26477173525916,548039.2689983845,151.0,39.0,94405.49399999958,265442.8270000004,53143.67299999999,5733.004999999999,996.807,608.936,6157.000000000005,78281.41900000001,6210.288000000003,409.413,11581.673000000008,30.386
49,"('AS14.01', datetime.date(2014, 2, 17))",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"('AS14.01', datetime.date(2014, 2, 18))",0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"('AS14.01', datetime.date(2014, 2, 19))",0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"('AS14.01', datetime.date(2014, 2, 20))",0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"('AS14.01', datetime.date(2014, 2, 22))",0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"('AS14.01', datetime.date(2014, 2, 25))",0.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"('AS14.01', datetime.date(2014, 2, 28))",44.0,-1.0,4.0,0.0,0.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"('AS14.01', datetime.date(2014, 3, 3))",44.0,-1.0,4.0,0.0,0.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"('AS14.01', datetime.date(2014, 3, 5))",44.0,-1.0,4.0,0.0,0.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"('AS14.01', datetime.date(2014, 3, 6))",44.0,-1.0,4.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"('AS14.01', datetime.date(2014, 3, 7))",44.0,-1.0,4.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"('AS14.01', datetime.date(2014, 3, 10))",44.0,-1.0,4.0,0.0,0.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"('AS14.01', datetime.date(2014, 3, 11))",44.0,-1.0,4.0,0.0,0.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,"('AS14.01', datetime.date(2014, 3, 12))",44.0,-1.0,4.0,0.0,0.0,41.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"('AS14.01', datetime.date(2014, 3, 13))",44.0,-1.0,4.0,0.0,0.0,45.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"('AS14.01', datetime.date(2014, 3, 14))",44.0,-1.0,4.0,0.0,0.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,"('AS14.01', datetime.date(2014, 3, 18))",44.0,-1.0,4.0,0.0,0.0,49.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,"('AS14.01', datetime.date(2014, 3, 19))",44.0,-1.0,4.0,0.0,0.0,50.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"('AS14.01', datetime.date(2014, 2, 21))",0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,"('AS14.01', datetime.date(2014, 3, 1))",44.0,-1.0,4.0,0.0,0.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"('AS14.01', datetime.date(2014, 3, 15))",44.0,-1.0,4.0,0.0,0.0,48.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"('AS14.01', datetime.date(2014, 3, 16))",44.0,-1.0,4.0,0.0,0.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"('AS14.01', datetime.date(2014, 3, 17))",44.0,-1.0,4.0,0.0,0.0,48.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"('AS14.02', datetime.date(2014, 3, 16))",19.0,0.0,0.0,0.0,11817.047001123432,162.0,41.0,5016.108,6375.563000000002,600.5439999999999,0.0,0.0,0.0,631.1930000000001,210.222,125.70000000000002,0.0,0.0,0.0
73,"('AS14.02', datetime.date(2014, 3, 17))",46.0,2.0,2.0,1.17647890465228,21976.816002368923,166.0,41.0,6245.455,10893.679000000007,3111.722,0.0,0.0,0.0,734.8920000000002,313.25,125.70000000000002,0.0,0.0,0.0
74,"('AS14.02', datetime.date(2014, 3, 18))",87.0,5.0,6.0,6.444104126782782,26489.28700375557,181.0,42.0,8849.976,14826.760000000011,3200.6649999999995,0.0,0.0,0.0,823.6140000000003,525.6140000000001,125.70000000000002,0.0,0.0,0.0
75,"('AS14.02', datetime.date(2014, 3, 19))",121.0,7.0,8.0,14.019266291198218,34672.04400396347,186.0,43.0,10404.533999999994,17423.749000000007,3396.803999999999,0.0,0.0,0.0,929.1500000000004,573.4290000000002,692.8649999999999,0.0,0.0,0.0
76,"('AS14.02', datetime.date(2014, 3, 20))",150.0,5.0,11.0,19.755865336246558,39032.37800526619,196.0,44.0,12182.510999999986,19578.120000000017,3544.984,0.0,0.0,0.0,1016.0070000000004,705.0270000000003,692.8649999999999,0.0,0.0,0.0
77,"('AS14.02', datetime.date(2014, 3, 21))",180.0,2.0,14.0,26.706935533849137,50188.22900438307,206.0,45.0,14412.813999999986,22436.56600000001,4004.588,0.0,0.0,0.0,1053.9510000000002,1093.048,1135.161,0.0,0.0,0.0
78,"('AS14.02', datetime.date(2014, 3, 22))",206.0,-2.0,12.0,37.41198401783877,57777.791007280335,231.0,46.0,16343.079999999984,24288.822,4667.499000000001,0.0,0.0,0.0,1097.1550000000004,1501.715,1915.7780000000005,0.0,0.0,0.0
79,"('AS14.02', datetime.date(2014, 3, 23))",231.0,-6.0,12.0,42.80592715850942,62306.318007946,239.0,47.0,17237.585999999963,26128.721000000005,5055.597,0.0,0.0,0.0,1159.0200000000002,1673.7090000000003,3178.967,0.0,0.0,0.0
80,"('AS14.02', datetime.date(2014, 3, 24))",263.0,-5.0,11.0,46.552919058545406,65072.96700739859,244.0,47.0,18311.08199999996,29140.90200000001,5587.609999999999,0.0,0.0,0.0,1240.8280000000004,1906.51,3178.967,0.0,0.0,0.0
81,"('AS14.02', datetime.date(2014, 3, 25))",294.0,-10.0,14.0,52.085246775100295,69710.35500741003,251.0,47.0,21118.01299999997,31929.65300000002,6047.199,0.0,0.0,0.0,1291.2030000000009,2054.957,3178.967,0.0,0.0,0.0
82,"('AS14.02', datetime.date(2014, 3, 26))",330.0,-16.0,16.0,59.1401298728405,75779.98500823973,256.0,47.0,22854.75699999995,34463.50200000001,6814.343999999999,0.0,0.0,0.0,1333.1530000000007,3616.980000000001,3178.967,0.0,0.0,0.0
83,"('AS14.02', datetime.date(2014, 3, 27))",359.0,-16.0,18.0,64.63250608697211,81483.08300709723,259.0,47.0,25118.800999999938,37438.695,7305.125,0.0,0.0,0.0,2046.5580000000004,3698.346000000001,3178.967,0.0,67.16300000000001,0.0
84,"('AS14.02', datetime.date(2014, 3, 28))",393.0,-19.0,21.0,70.91086596084746,85483.76100611685,267.0,49.0,26162.214999999924,38705.67200000002,8012.765,0.0,0.0,0.0,2190.675,6415.561000000003,3178.967,0.0,67.16300000000001,0.0
85,"('AS14.02', datetime.date(2014, 3, 29))",422.0,-22.0,22.0,81.29013048229695,89899.79000377654,271.0,49.0,43591.27599999991,40847.16100000004,9076.033,0.0,0.0,0.0,2243.5160000000005,6939.415000000003,3680.611,0.0,67.16300000000001,0.0
86,"('AS14.02', datetime.date(2014, 3, 30))",450.0,-26.0,25.0,86.85353858455818,93836.83200263976,281.0,50.0,44364.06299999992,41958.01700000003,10354.627,0.0,0.0,0.0,2356.7440000000006,7262.316000000002,3680.611,0.0,67.16300000000001,0.0
87,"('AS14.02', datetime.date(2014, 3, 31))",486.0,-30.0,27.0,90.6064887525008,98610.97800183296,295.0,52.0,45550.36199999991,44439.33900000005,10709.592,0.0,0.0,0.0,2438.4850000000006,9300.947000000006,3680.611,0.0,67.16300000000001,0.0
88,"('AS14.02', datetime.date(2014, 4, 1))",523.0,-31.0,31.0,96.89354152503816,101886.65399885176,297.0,53.0,48296.49499999992,45761.94900000005,10786.568,0.0,0.0,0.0,2624.898,9492.068000000008,4025.810999999999,0.0,67.16300000000001,0.0
89,"('AS14.02', datetime.date(2014, 4, 2))",555.0,-34.0,30.0,104.55243500822937,108792.5440006256,299.0,53.0,50304.58599999989,48704.37200000006,11808.021999999995,0.0,0.0,0.0,2753.642,9809.969000000005,4025.810999999999,0.0,67.16300000000001,0.0
90,"('AS14.02', datetime.date(2014, 4, 3))",578.0,-35.0,30.0,112.29257516606906,115606.8440015316,301.0,53.0,51573.88499999986,52299.80300000007,12356.808999999996,0.0,0.0,0.0,2809.7739999999994,9932.39,4344.105,0.0,67.16300000000001,0.0
91,"('AS14.02', datetime.date(2014, 4, 4))",610.0,-41.0,31.0,117.7470637246841,119260.21400237082,306.0,53.0,52695.57399999983,55109.23900000006,13166.536999999998,0.0,0.0,0.0,2958.626,10073.709999999995,4344.105,0.0,67.16300000000001,0.0
92,"('AS14.02', datetime.date(2014, 4, 5))",647.0,-41.0,34.0,125.47313706421671,132328.1400039196,315.0,54.0,54651.6379999998,57418.89800000007,13961.020999999995,0.0,0.0,0.0,3059.5229999999992,10290.802999999996,4732.176,0.0,67.16300000000001,0.0
93,"('AS14.02', datetime.date(2014, 4, 6))",665.0,-45.0,29.0,128.91648938679035,135978.10800242424,321.0,54.0,55229.04599999979,58643.22000000007,14580.000999999991,0.0,0.0,0.0,3089.533999999999,10723.862999999996,4732.176,0.0,67.16300000000001,0.0
94,"('AS14.02', datetime.date(2014, 4, 7))",699.0,-45.0,32.0,132.1930590122967,142222.09800076485,323.0,54.0,56711.993999999766,62335.01000000006,15317.916999999994,0.0,0.0,0.0,3195.682,12732.046999999988,4732.176,0.0,67.16300000000001,0.0
95,"('AS14.02', datetime.date(2014, 4, 8))",724.0,-46.0,34.0,138.47988391521426,146423.7870001793,333.0,55.0,57896.77199999974,64670.25400000007,15511.396999999994,0.0,0.0,0.0,3330.115999999999,13368.299999999985,4732.176,0.0,67.16300000000001,0.0
96,"('AS14.02', datetime.date(2014, 4, 9))",753.0,-48.0,35.0,144.4129202682916,152181.21300077438,345.0,56.0,59323.79399999972,66925.79900000006,16138.632999999989,0.0,0.0,0.0,3391.512999999999,13662.620999999985,4732.176,0.0,67.16300000000001,0.0
97,"('AS14.02', datetime.date(2014, 4, 10))",782.0,-47.0,38.0,150.6709347605306,160025.4519994259,346.0,57.0,60627.24599999969,69652.03600000005,16833.957000000002,0.0,0.0,0.0,3532.726999999999,14229.42799999998,5257.288999999999,0.0,69.20800000000001,0.0
98,"('AS14.02', datetime.date(2014, 4, 11))",808.0,-49.0,40.0,160.85848901593306,165835.48200058937,353.0,58.0,62175.43799999968,71995.82899999997,17534.681000000004,0.0,0.0,0.0,3668.854999999999,14549.072999999977,5888.218000000002,0.0,69.20800000000001,0.0
99,"('AS14.02', datetime.date(2014, 4, 12))",814.0,-51.0,39.0,169.93773061542214,169494.3010017872,359.0,59.0,64002.10599999968,73512.59599999999,17534.681000000004,0.0,0.0,0.0,3679.870999999999,14706.264999999976,6250.403000000002,0.0,76.19400000000002,0.0
100,"('AS14.02', datetime.date(2014, 4, 13))",850.0,-54.0,41.0,176.8934134542093,171669.1719994545,360.0,59.0,64513.01899999967,74367.81499999999,17906.201,0.0,0.0,0.0,3758.9829999999984,14829.335999999976,6410.049000000004,0.0,76.19400000000002,0.0
101,"('AS14.02', datetime.date(2014, 4, 14))",882.0,-51.0,45.0,181.3831906583404,174442.215000391,368.0,66.0,65322.99099999968,76190.29200000002,18001.972999999998,0.0,0.0,0.0,3780.164999999999,14886.152999999977,6410.049000000004,0.0,160.68200000000002,0.0
102,"('AS14.02', datetime.date(2014, 4, 15))",911.0,-53.0,47.0,183.46673725648463,175143.50200080872,382.0,67.0,65421.25699999967,76636.20900000003,18021.631,0.0,0.0,0.0,3780.164999999999,14911.538999999975,6410.049000000004,0.0,160.68200000000002,0.0
103,"('AS14.02', datetime.date(2014, 4, 16))",931.0,-54.0,48.0,184.17328996303732,175252.7860004902,398.0,68.0,65546.38999999968,76636.20900000003,18021.631,0.0,0.0,0.0,3780.164999999999,14911.538999999975,6410.049000000004,0.0,160.68200000000002,0.0
104,"('AS14.02', datetime.date(2014, 4, 17))",957.0,-53.0,48.0,185.11346090320828,175294.02100014687,408.0,75.0,65548.39699999968,76673.81000000004,18021.631,0.0,0.0,0.0,3780.164999999999,14911.538999999975,6410.049000000004,0.0,160.68200000000002,0.0
105,"('AS14.02', datetime.date(2014, 4, 18))",983.0,-53.0,48.0,185.11346090320828,175294.02100014687,411.0,75.0,65548.39699999968,76673.81000000004,18021.631,0.0,0.0,0.0,3780.164999999999,14911.538999999975,6410.049000000004,0.0,160.68200000000002,0.0
106,"('AS14.02', datetime.date(2014, 4, 19))",1000.0,-55.0,47.0,185.61346090320828,175481.34300017357,412.0,75.0,65558.48699999967,76746.15100000004,18021.631,0.0,0.0,0.0,3780.164999999999,14911.538999999975,6410.049000000004,0.0,160.68200000000002,0.0
