date,id,batch,mood,mood_count,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
03/04/2014,AS14.01,0,6.4,5,-1.2,0,0.049238473,18177.17982,4,0,2321.464,14438.082,1293.631,76.234,0,0,213.902,3154.241,19.082,0,182.772,0
04/04/2014,AS14.01,0,6.2,5,0.2,0.4,0.126689311,9598.978821,2,1,1957.829,5481.628,1545.227,0,0,0,176.801,2086.197,158.241,0,128.692,0
05/04/2014,AS14.01,0,6.8,5,-0.4,0.6,0.119002302,3340.431,0,0,628.6079282,1885.409,76.369,0,0,0,81.133,363.208,187.945,0,118.956,0
06/04/2014,AS14.01,0,6.5,4,-0.75,0.5,0.064407799,7467.322,4,0,3527.589928,3355.743,187.214,0,114.406,0,119.12,321.46,0,0,46.249,0
07/04/2014,AS14.01,0,6.5,4,-0.666666667,0.25,0.050670621,9846.381,1,0,927.377,7355.015,447.121,46.128,0,17.107,170.348,1475.418,60.247,0,205.811,0
08/04/2014,AS14.01,0,6.6,5,-0.4,0.333333333,0.075327058,15101.132,1,0,892.689,7486.495946,3466.479,19.131,0,0,209.514,2655.121,0,0,36.143,0
09/04/2014,AS14.01,0,7.4,5,-0.8,1,0.120384115,13558.289,4,0,1638.617,6177.076,940.77,0,0,0,346.654,2826.35,0,0,577.359,0
10/04/2014,AS14.01,0,7.4,5,-0.4,0.8,0.078963105,9296.098999,7,0,715.355,4881.411,1858.893,0,1.059,23.195,107.919,1174.717,0,0,377.687,0
11/04/2014,AS14.01,0,7,5,-1.2,0.8,0.079986202,7437.602821,0,0,1762.531928,3336.592,1976.138,94.093,0,0,51.452,596.807,34.234,0,214.648,0
12/04/2014,AS14.01,0,7.25,4,-0.75,0.75,0.072249061,5091.359822,0,0,302.446,2101.847946,2186.482,0,0,0,79.033,264.432,5.031,0,352.392,0
13/04/2014,AS14.01,0,8,4,-1.25,1,0.014021329,2005.750999,0,0,447.415,1096.795,249.392,82.413,0,0,94.209,34.502,0,0,0,0
14/04/2014,AS14.01,0,7.2,5,-1.2,0.6,0.083887314,11734.27364,1,1,961.581,6486.284,6265.556,89.323,0,0,145.096,2921.985,29.104,0,986.014,0
15/04/2014,AS14.01,0,6.4,5,0,0.8,0.090112153,11391.52682,8,1,1596.356,6224.231,944.522,13.043,0,0,110.415,4428.21,8.363,0,279.793,0
16/04/2014,AS14.01,0,7.2,5,0.75,0.5,0.116110336,12522.475,0,1,923.613,5175.016,426.734,0,0,0,40.784,1912.852,0,0,223.587,0
17/04/2014,AS14.01,0,6.6,5,-0.4,0.6,0.056917857,7878.109464,2,0,552.201,11853.339,142.241,0,0,0,53.763,2107.146,0,0,49.718,0
18/04/2014,AS14.01,0,6.8,5,-0.8,0.8,0.094033007,8965.493821,1,0,1860.898,5341.657,774.354,119.163,0,0,47.789,1993.922,63.874,0,88.68,0
19/04/2014,AS14.01,0,7.8,5,-0.2,1,0.099431912,5199.842822,1,0,946.19,2728.26,469.274,95.629,29.084,0,31.482,396.672,128.89,0,305.796,0
20/04/2014,AS14.01,0,7.25,4,-0.25,0.75,0.074816243,8343.518,2,2,897.086,4984.724,727.492,10.606,0,0,34.202,2237.742,0,0,121.035,0
21/04/2014,AS14.01,0,7.6,5,-0.25,1,0.102041059,3832.990999,2,0,1137.453928,2004.347,74.88,33.266,0,0,58.049,428.972,68.278,0,210.882,0
22/04/2014,AS14.01,0,7.4,5,0.2,1,0.091929552,15490.27,2,0,2212.954,11360.913,1101.017,38.453,0,0,63.16,1422.548,0,0,423.215,0
23/04/2014,AS14.01,0,7.6,5,0.2,1,0.045985689,11523.25182,1,0,1130.842,8928.472,347.427,18.051,0,0,42.398,526.598,0,0,246.944,0
24/04/2014,AS14.01,0,7.6,5,-0.4,1,0.050902988,13783.66864,1,0,1466.271,9692.133,4464.975,209.937,0,0,31.933,2688.536,51.184,0,716.197,0
25/04/2014,AS14.01,0,7.2,5,-0.2,0.8,0.109061064,9382.362642,2,1,817.613,7279.144,650.832,21.071,0,0,68.847,2227.694,63.316,0,347.974,0
26/04/2014,AS14.01,0,7.6,5,-0.2,1,0.214248772,5047.964641,3,4,864.519,2567.857,125.556,27.267,0,0,46.205,2368.377,470.773,3.148,315.763,0
27/04/2014,AS14.01,0,7.5,4,0,1,0.030478924,5700.562,0,0,1291.314,2431.498,1510.221,0,0,0,1056.684,27.47,0,0,60.338,0
28/04/2014,AS14.01,0,7.6,5,-0.8,0.8,0.019675323,10807.83,2,0,1312.001,4697.372,1548.438,465.253,0,0,72.584,2423.933,0,0,380.193,0
29/04/2014,AS14.01,0,7,5,-0.25,1,0.102758249,7873.291999,0,0,1824.022928,3834.645,1562.533,0,333.305,0,40.472,411.485,41.982,0,410.436,0
30/04/2014,AS14.01,0,7.8,5,-0.4,0.75,0.151051459,6064.85182,1,0,844.963,3550.618,504.862,375.022,0,0,185.783,89.166,272.798,0,112.295,0
01/05/2014,AS14.01,0,8,5,-0.4,1,0.037065268,13375.32582,7,4,1876.113,8191.41,470.866,1321.104,0,28.098,44.43,4918.942,0,0,269.569,0
02/05/2014,AS14.01,0,7.6,5,-0.2,1,0.077341019,10972.00182,0,0,795.436,7925.918,352.888,1069.748,0,0,32.443,771.266,0,0,11.083,0
03/05/2014,AS14.01,0,8,5,-0.2,1,0.071740885,8186.036001,0,1,753.257,4539.776,2761.95,296.313,0,0,40.569,205.602,143.631,30.102,125.605,0
04/05/2014,AS14.01,0,8,4,-0.5,1,0.136191808,5889.194999,0,0,1758.438,3381.689,928.406,0,0,0,35.525,494.677,0,0,0,0
05/05/2014,AS14.01,0,6,0,0,0,0.007842595,1788.734,0,0,438.347,826.787,318.514,0,0,0,0,25.104,0,0,264.331,0
21/03/2014,AS14.03,0,9,2,1,2,0,1664.954001,5,2,168.055,1724.739,946.017,0,0,10.046,543.588,0,0,0,0,0
22/03/2014,AS14.03,0,7.8,5,0.8,1,0.191388309,2643.537,8,1,482.088,458.495,3915.524,0,0,0,89.216,0,168.545,0,4.35,0
23/03/2014,AS14.03,0,8.2,5,-0.2,1.2,0.100246698,5048.337001,1,1,492.576,1503.122,1741.391,36.364,0,161.998,251.529,0,275.405,0,0,44.854
24/03/2014,AS14.03,0,7.8,5,-0.6,1.4,0.090740222,6248.046,3,0,92.246,2282.336,3908.043,105.217,0,125.325,851.017,0,0,11.064,5.136,0
25/03/2014,AS14.03,0,7.8,5,-0.4,1.2,0.132768286,3791.112,6,1,1044.495,1305.098,1351.416,447.543,0,141.076,133.63,0,0,47.324,28.843,0
26/03/2014,AS14.03,0,8.25,4,0.5,1,0.091153201,3985.976999,1,0,118.639,1294.789,2355.873,87.141,0,20.684,72.68,0,12.84,7.649,0,0
27/03/2014,AS14.03,0,7.75,4,0.25,0.5,0.103195754,3275.632002,3,1,588.336,931.662,1653.757,0,0,13.437,60.032,0,0,0,17.49,0
28/03/2014,AS14.03,0,8,4,-0.5,1.5,0.104679288,3250.441998,3,0,277.526,940.879,3351.791,0,0,46.206,246.376,0,0,63.787,7.045,0
29/03/2014,AS14.03,0,8.6,5,-0.2,1.6,0.163377338,2261.391001,0,1,19.31,152.928,2529.228,49.371,0,0,104.425,0,0,0,0,0
30/03/2014,AS14.03,0,8.4,5,-0.2,1,0.164650715,3568.718999,1,0,12.869,1223.623,2039.814,0,0,26.284,186.054,0,0,35.267,0,31.955
31/03/2014,AS14.03,0,7.4,5,0.4,0.6,0.083633585,5980.297821,3,1,2044.996,4412.685,1699.468,77.491,0,0,98.786,0,0,0,5.16,0
01/04/2014,AS14.03,0,7.6,5,0.4,0.4,0.09741434,3205.793999,2,0,543.663,711.798,1626.554,58.641,0,62.49,203.234,0,0,0,0,0
02/04/2014,AS14.03,0,7.4,5,0.2,0.6,0.078688138,3364.240001,2,0,854.198,820.558,1981.504,65.439,0,18.699,98.842,0,54.145,0,0,0
03/04/2014,AS14.03,0,7.8,5,0,1,0.083636454,2312.746,1,0,145.9929282,685.184,2093.16,72.103,0,0,91.237,0,0,20.192,29.197,0
04/04/2014,AS14.03,0,7.8,5,0.2,1.4,0.08710656,3231.443999,0,3,617.093,804.091,1371.565,47.284,0,6.163,902.67,0,0,315.509,0,0
05/04/2014,AS14.03,0,7.6,5,1.2,1,0.114427938,3852.661999,6,0,263.059,1110.404,2295.814,0,0,106.486,60.862,0,19.696,0,0,0
06/04/2014,AS14.03,0,6.8,5,0.2,0.8,0.076772015,6028.548999,0,0,11.063,730.343,4234.2,0,0,0,1024.593,0,0,23.094,0,0
07/04/2014,AS14.03,0,7.4,5,0.2,1,0.144063937,5035.645,2,0,596.011,1787.445,2513.812,88.197,0,124.681,72.082,0,0,82.764,0,0
08/04/2014,AS14.03,0,7.4,5,0.4,1.2,0.103830889,2530.151821,2,1,873.53,683.364,1307.637,27.089,0,1494.864,70.913,0,0,11.128,0,0
09/04/2014,AS14.03,0,7.8,5,0.6,1,0.092122233,1773.722,0,0,23.843,763.865,984.36,31.735,0,16.27,74.42,0,0,50.254,0,0
10/04/2014,AS14.03,0,7.4,5,0.4,1,0.108066399,4831.958822,0,2,103.689,1778.979,2776.328,0,0,5.217,95.092,13.22,0,2239.937,0,0
11/04/2014,AS14.03,0,7.6,5,0.2,1,0.120188083,4983.920999,0,0,102.159,1698.898,3128.489,17.149,0,9.16,354.092,0,0,28.343,4.513,0
12/04/2014,AS14.03,0,7.666666667,3,0.333333333,1,0.127037342,2492.817999,6,0,116.7709282,229.648,4009.627914,0,0,0,1072.477,0,0,21.096,9.33,0
13/04/2014,AS14.03,0,7.4,5,0.2,1,0.078137542,7752.552999,1,1,1391.461,2391.052,3217.934,0,0,643.756,4335.307,0,0,0,0,0
14/04/2014,AS14.03,0,7,5,0,0.8,0.092896266,4230.447,0,1,1808.078,3571.217,1152.669,28.19,0,8.073,58.008,41.365,0,11.226,17.303,0
15/04/2014,AS14.03,0,7.6,5,0.2,0.8,0.119554999,3964.784998,6,0,726.5,2245.302,1850.042,0,0,6.025,100.235,0,0,12.082,0,0
16/04/2014,AS14.03,0,8,5,0.8,1,0.114768169,5334.567,2,0,244.239,1454.301,3481.064,18.113,0,33.186,175.38,0,0,38.228,7.662,0
17/04/2014,AS14.03,0,7.25,4,0.25,0.75,0.140859246,5006.506,4,2,526.0899282,2048.286,1159.785,172.576,0,0,167.096,0,0,101.287,31.331,0
18/04/2014,AS14.03,0,7.5,4,0,1,0.073876083,6253.737,6,0,1751.578,1206.113,4304.597,0,0,183.844,47.282,0,0,18.267,7.954,0
19/04/2014,AS14.03,0,7.8,5,0.6,0.8,0.208229777,1441.918,4,1,117.624,1155.189,66.705,0,0,0,53.494,0,69.034,0,0,0
20/04/2014,AS14.03,0,7.5,4,0.25,1,0.146852637,3489.126999,3,2,489.672,993.986,1528.488,0,0,0,49.111,0,26.617,225.16,0,0
21/04/2014,AS14.03,0,7.4,5,0.2,1,0.020845805,6019.938,3,0,723.06,242.136,4016.524,23.194,0,0,1681.297,0,167.219,0,5.461,0
22/04/2014,AS14.03,0,7.6,5,0.4,0.8,0.092855614,3493.391,0,0,126.094,1806.502,2342.385,0,0,39.548,73.491,0,0,23.108,0,0
23/04/2014,AS14.03,0,7,5,0.6,0.8,0.120389719,4272.428,0,1,145.374,1479.562,2393.742,159.123,0,0,58.527,0,0,24.156,0,0
24/04/2014,AS14.03,0,7.4,5,-0.2,1,0.106001092,4893.604,0,0,115.675,2815.141,1748.107,52.354,0,0,159.014,0,0,17.439,0,0
25/04/2014,AS14.03,0,7.5,4,-1,1,0.106167618,4841.675821,0,0,42.124,1920.281946,3332.951,43.303,0,178.498,57.624,0,0,54.501,10.174,0
26/04/2014,AS14.03,0,7.5,4,-0.25,1,0.26914225,3489.053999,4,5,443.291,586.442,2737.032,0,0,0,90.046,19.455,0,0,0,0
27/04/2014,AS14.03,0,7.6,5,-1.4,1,0.065552072,5290.936999,0,0,8.94,876.223,7382.021,0,0,0,2434.284,0,540.932,56.35,0,0
28/04/2014,AS14.03,0,7,5,-1.4,1,0.08262849,3365.22,1,0,118.209,2852.19,3497.522,28.117,0,0,47.72,7.876,0,16.492,13.238,0
29/04/2014,AS14.03,0,7.2,5,-0.6,1,0.118695848,3669.914999,0,0,20.779,1792.613,1007.323,479.494,0,6.506,66.649,0,0,13.057,0,0
30/04/2014,AS14.03,0,7,5,-1.2,1,0.089692241,4097.972999,0,0,191.088,1863.695,2006.694,0,0,0,85.207,0,0,41.5,16.27,0
01/05/2014,AS14.03,0,7.2,5,-0.8,1,0.136388835,3744.96,1,0,91.74092821,1083.126,3026.651,0,0,61.166,80.127,0,112.24,0,12.198,0
02/05/2014,AS14.03,0,7.6,5,-1.2,1.4,0.134376923,6631.174,10,1,274.715,1102.326,4098.997,43.224,0,0,713.978,0,49.673,0,28.902,0
03/05/2014,AS14.03,0,7.75,4,-0.4,1,0.138918931,4757.612821,5,0,550.479,924.108,3330.291,0,0,0,54.141,0,72.509,15.146,11.342,0
04/05/2014,AS14.03,0,7.4,5,-1.2,0.8,0.066162407,3048.189,4,0,80.634,192.146,2692.839,0,0,0,37.76,0,0,41.416,0,0
05/05/2014,AS14.03,0,7.25,4,-1,1,0.101182005,3253.51,2,1,124.644,946.438,1635.675,13.243,0,0,249.249,0,130.482,140.589,6.155,0
06/05/2014,AS14.03,0,7,0,0,0,0.086434442,1786.197999,2,0,568.458,980.45,451.809,0,0,14.902,0,0,0,12.061,0,0
07/05/2014,AS14.03,0,7.666666667,6,-0.666666667,1,0.094450356,3511.52,0,0,719.681,1327.231,1184.998,0,0,13.905,259.949,0,0,37.386,0,0
08/05/2014,AS14.03,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/03/2014,AS14.05,0,8,1,-1,2,0,5622.509999,3,0,257.071,4362.429,269.409,0,0,0,358.415,468.649,0,0,28.657,0
15/03/2014,AS14.05,0,6.2,5,0,0.4,0,8903.782,3,0,797.809,6364.988,2050.826,0,0,0,174.931,683.573,0,186.877,41.317,0
16/03/2014,AS14.05,0,6.333333333,3,-0.666666667,0,0,5548.048999,3,0,389.773,4189.964,780.33,0,0,0,88.685,0,0,55.344,28.373,0
17/03/2014,AS14.05,0,6,5,-0.4,0.4,0.083370521,5613.824001,0,2,839.597,1774.029,1020.822,0,0,0,148.272,0,0,7.068,19.328,0
18/03/2014,AS14.05,0,7.5,4,0.25,1,0.113195906,4109.899822,9,0,422.774,4411.521,905.37,0,0,0,67.334,0,0,28.289,57.916,0
19/03/2014,AS14.05,0,6.75,4,1,0.75,0.133691265,6095.810001,0,0,235.807,4320.741,1031.177,0,0,0,122.397,0,0,23.393,15.09,0
20/03/2014,AS14.05,0,7.2,5,1,0.8,0.118456799,4862.865999,0,1,122.208,4486.863,512.418,0,0,0,157.196,0,0,0,0,0
21/03/2014,AS14.05,0,7.25,4,0,1,0.050197723,3032.319,2,3,393.794,2267.379,375.792,0,0,0,53.848,0,0,0,0,0
22/03/2014,AS14.05,0,3.75,4,-2,-1,0.018560992,1806.18,0,0,13.041,1098.569,641.921,0,0,0,118.051,0,0,0,7.036,0
23/03/2014,AS14.05,0,4.4,5,-1.4,-1,0.085242897,3991.816,1,9,269.464,2880.448,749.339,0,0,0,91.277,0,0,0,0,0
24/03/2014,AS14.05,0,3.75,4,-2,-1,0.006535872,4166.945001,0,1,1117.885,3652.671,554.26,0,0,0,124.07,0,0,99.938,153.627,0
25/03/2014,AS14.05,0,5.333333333,3,-1,0.333333333,0.040966888,9523.143001,0,1,115.586,5931.509,2687.957,0,0,0,253.707,0,0,157.198,495.038,0
26/03/2014,AS14.05,0,5.5,4,-0.5,0.25,0.039236509,8523.029,0,1,176.916,7550.9,715.528,0,0,0,93.703,0,0,124.287,0,0
27/03/2014,AS14.05,0,5.8,5,-0.6,0.2,0.07717586,11263.526,1,1,620.858,8743.153,1137.204,0,0,0,107.356,0,0,137.643,26.285,0
28/03/2014,AS14.05,0,6.2,5,0,0.6,0.045324583,4806.28,1,0,308.83,3767.675,4129.413,0,0,0,111.722,345.007,0,0,17.071,0
29/03/2014,AS14.05,0,6.4,5,-0.4,1,0.104423182,2506.719,3,1,473.51,1584.78,345.242,0,0,0,91.391,0,0,32.533,47.14,0
30/03/2014,AS14.05,0,6.2,5,-0.8,0.8,0.07491951,4132.284999,4,0,194.232,3235.621,360.442,0,0,0,126.417,0,0,22.921,95.895,0
31/03/2014,AS14.05,0,6.8,5,-0.4,1,0.055341322,1278.240999,2,0,110.377,581.754,1269.714,0,0,0,122.04,0,0,255.71,66.526,0
01/04/2014,AS14.05,0,7,5,0,1,0.078125986,4642.274999,0,0,459.605,2799.097,919.047,0,0,0,68.679,356.507,0,52.488,19.131,0
02/04/2014,AS14.05,0,7,5,-0.2,1,0.073126141,3362.542999,0,0,388.53,1747.588,651.506,0,0,0,112.719,308.799,0,175.624,10.106,0
03/04/2014,AS14.05,0,7.2,5,-1,0.8,0.052751485,4592.450999,0,0,707.565,3026.877,251.912,0,0,0,86.589,644.762,0,0,0,0
04/04/2014,AS14.05,0,7,5,-0.8,1,0.041456524,9140.195001,3,0,1581.809,6527.512,272.731,0,0,0,245.756,237.591,0,240.52,22.511,0
05/04/2014,AS14.05,0,7.5,4,0,1,0.069288464,2489.053001,1,0,279.144,1322.723,217.571,0,0,0,458.47,0,0,117.526,0,0
06/04/2014,AS14.05,0,6.8,5,-0.4,1,0.077362638,2325.477821,2,0,229.397,3604.419,887.666,0,0,0,65.893,6.036,0,0,72.998,0
07/04/2014,AS14.05,0,6.75,4,-0.25,0.75,0.066858694,5002.379,1,0,471.083,4020.034,348.513,0,0,0,77.921,0,0,46.251,32.203,0
08/04/2014,AS14.05,0,6.75,4,0.25,0,0.08512478,2492.819001,1,0,271.837,1472.667,2000.842,0,0,0,652.77,0,0,7.044,0,0
09/04/2014,AS14.05,0,7,4,0.25,0.75,0.153618953,7907.565999,1,0,498.626,6228.592,931.454,0,0,0,144.336,7.161,0,87.147,4.016,0
10/04/2014,AS14.05,0,7.2,5,0.8,1,0.01334712,3369.278,1,0,489.721,2104.748,879.885,0,0,0,1896.158,257.664,0,0,4.033,0
11/04/2014,AS14.05,0,7,5,0.2,0.6,0.09461525,5875.098001,0,0,1013.046,4781.4,551.691,0,0,21.127,100.988,72.543,0,0,5.04,0
12/04/2014,AS14.05,0,7,5,-1.4,1,0.049298857,9284.784999,0,3,374.492,7058.309,531.652,0,0,0,102.538,766.973,0,148.693,38.441,0
13/04/2014,AS14.05,0,7.5,4,0.333333333,1,0.114127383,2350.608001,13,0,618.154,1668.641,201.961,0,0,0,141.63,198.636,0,0,0,0
14/04/2014,AS14.05,0,6.4,5,-1.2,0.4,0.101723445,4047.473,0,0,624.276,1498.658,389.578,0,0,0,148.628,1141.03,0,246.393,74.099,0
15/04/2014,AS14.05,0,7,5,0.2,0.8,0.057296549,7540.287001,0,0,389.689,4296.69,602.297,0,0,0,595.167,1561.887,0,219.536,11.224,0
16/04/2014,AS14.05,0,7.2,5,-0.6,0.8,0.105649431,1779.036,0,0,224.474,1065.002,235.091,0,0,0,126.471,462.505,0,0,23.194,0
17/04/2014,AS14.05,0,6.6,5,0.4,0.6,0.115038456,5463.501,0,0,582.436,4081.767,437.383,0,0,0,86.826,833.708,0,40.053,40.364,0
18/04/2014,AS14.05,0,7.5,4,0.25,1,0.115167407,5954.957001,1,1,1123.99,4169.94,826.468,0,0,0,269.606,881.555,0,192.519,3.028,0
19/04/2014,AS14.05,0,7.2,5,-0.8,0.8,0.06088699,2441.471002,2,0,116.467,1140.55,43.79,0,0,0,112.552,904.395,0,105.788,14.285,0
20/04/2014,AS14.05,0,7.2,5,-1.2,1,0.035382993,7613.73,0,0,372.859,4990.249,619.547,0,0,0,46.363,1471.252,0,180.368,109.92,0
21/04/2014,AS14.05,0,7.2,5,-0.6,1,0.101777458,7826.858,0,0,433.548,5939.196,366.749,0,0,0,62.632,647.545,5.029,55.333,215.029,0
22/04/2014,AS14.05,0,7.2,5,0.4,1,0.06284798,4750.197002,1,1,525.8,2224.006,279.441,0,0,0,152.116,1452.113,0,97.567,12.18,0
23/04/2014,AS14.05,0,7.2,5,-1,1,0.080946897,4737.818999,0,1,244.856,3439.813,966.003,0,0,0,73.26,888.153,0,116.184,0,0
24/04/2014,AS14.05,0,7.2,5,-0.75,1,0.039371066,5063.664001,0,0,440.236,3924.221,99.176,0,0,0,58.243,543.865,0,49.194,10.037,0
25/04/2014,AS14.05,0,7.2,5,-1.2,1,0.049052722,5750.144003,3,0,227.0639282,3506.227,838.425,0,0,0,65.782,1261.784,0,218.396,35.265,0
26/04/2014,AS14.05,0,7.8,5,-0.8,1,0.200166361,5481.505,2,1,688.974,3364.003,1170.485,0,0,0,146.654,709.549,0,16.074,72.459,0
27/04/2014,AS14.05,0,7.4,5,-0.6,1,0.018822483,3046.840001,0,0,130.072,3169.602,230.117,0,0,0,217.575,522.991,0,0,78.758,0
28/04/2014,AS14.05,0,7,5,-0.6,1,0.010304628,6057.33,1,0,427.954,4711.91,671.527,0,0,0,55.599,572.717,0,174.014,3.01,0
29/04/2014,AS14.05,0,6.8,5,0.4,0.8,0.041165097,3830.345999,0,0,0,2739.915,583.655,0,0,0,141.214,2346.645,0,175.478,10.124,0
30/04/2014,AS14.05,0,7,5,-0.6,1,0.061608518,3712.833,0,0,31.581,2949.287,103.591,0,0,0,64.292,345.148,0,203.296,10.068,0
01/05/2014,AS14.05,0,6.8,5,-0.2,1,0.025292275,5083.854999,0,0,343.089,4160.492,90.454,0,0,0,139.338,495.205,0,0,0,0
02/05/2014,AS14.05,0,7,5,-0.2,1,0.00681724,12600.606,0,7,3161.149,7488.641,390.407,0,0,0,449.645,893.075,0,119.587,42.229,0
03/05/2014,AS14.05,0,6.75,4,0.25,1,0.054470851,3715.250999,1,5,489.999,2458.414,164.737,0,0,0,59.096,717.739,0,214.516,9.075,0
04/05/2014,AS14.05,0,7,4,0.25,1,0.072580335,4132.476999,2,0,177.708,3289.885,269.681,0,0,0,104.053,71.958,0,110.071,26.158,0
05/05/2014,AS14.05,0,6.333333333,3,-0.333333333,1,0.00249066,49.03300023,0,0,0,32.771,5.155,0,0,0,10.221,0,0,0,0,0
25/03/2014,AS14.06,0,7,5,-0.2,0.6,0.137708588,7729.770001,0,0,116.887,3930.897,2999.969,0,0,276.938,112.22,874.732,0,0,0,0
26/03/2014,AS14.06,0,8,4,0.5,1.5,0.135562653,7892.531001,2,0,212.512,3234.5,1950.957,0,0,35.692,60.047,3143.653,564.176,0,0,0
27/03/2014,AS14.06,0,7,4,0.25,0.25,0.132328605,8167.157001,1,0,523.696,4045.84,2453.259,0,0,0,55.648,1081.538,0,0,0,0
28/03/2014,AS14.06,0,7.6,5,-0.2,0.8,0.171470794,6928.638002,0,1,42.311,3588.191,1995.996,0,0,42.263,367.836,3417.103,80.015,0,0,0
29/03/2014,AS14.06,0,7.8,5,0,1,0.111580882,3907.131,0,0,32.411,1881.483,786.555,0,0,0,101.467,1257.523,0,0,0,0
30/03/2014,AS14.06,0,7.8,5,0,0.8,0.211297852,8933.720999,1,4,1874.664,549.846,2057.889,0,2386.332,0,44.391,2072.094,0,0,0,4.859
31/03/2014,AS14.06,0,7,5,-0.2,0.4,0.160605457,7504.322001,1,0,226.9059282,2061.095,2416.332,0,0,27.522,49.306,2699.895,0,0,0,0
01/04/2014,AS14.06,0,7.75,4,0,0.75,0.225853623,6316.016821,3,0,1351.484,4034.721,775.56,0,866.915,0,56.761,2224.119,0,0,0,0
02/04/2014,AS14.06,0,6.8,5,-0.6,0.4,0.162552521,9183.504001,4,0,597.655,4435.702,1418.497,0,0,167,58.694,2845.707,22.122,0,0,0
03/04/2014,AS14.06,0,7.2,5,0,0.4,0.209573898,7130.967,2,0,509.24,3895.875,1316.649,0,9.028,0,54.772,1875.638,167.515,0,0,0
04/04/2014,AS14.06,0,7,5,-0.4,0.2,0.14952381,9345.663,0,0,859.879,3580.079,1366.65,0,1636.732,0,41.732,2963.02,549.962,0,0,0
05/04/2014,AS14.06,0,7,5,-0.4,0.8,0.292273902,4097.588,2,0,537.624,1395.313,559.464,0,0,0,81.583,2637.35,119.68,0,0,0
06/04/2014,AS14.06,0,7,5,-1,0.4,0.020425725,5300.544999,1,0,760.537,886.779,533.16,0,0,0,76.721,3042.546,0,0,0,0
07/04/2014,AS14.06,0,6.2,5,-0.6,0,0.19494721,6208.289999,3,0,402.886,3437.375,581.422,0,0,0,43.457,2274.866,37.449,0,0,0
08/04/2014,AS14.06,0,6.6,5,-0.2,0,0.17494856,5801.00482,4,1,595.5799282,3951.154,1588.404,0,636.958,172.817,61.256,1512.964,4.01,0,0,0
09/04/2014,AS14.06,0,7.4,5,0.4,0.8,0.103095975,9689.767,1,0,267.0239282,4194.89,2658.299,0,0,473.817,60.772,3642.325,247.616,0,0,1.007
10/04/2014,AS14.06,0,7.6,5,-0.2,0.8,0.224284245,7552.357,1,4,776.309,3493.525,926.864,0,9.124,0,57.606,3132.322,890.794,0,0,26.138
